customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgCharge,NormalizedAvgCharge
7590-VHVEG,1,0,0,0,29.85,29.85,0,29.85,3.396184839838611
5575-GNVDE,34,1,1,1,56.95,1889.5,0,55.57,4.01764348729183
3668-QPYBK,2,1,0,1,53.85,108.15,1,54.08,3.9904644317347087
7795-CFOCW,45,0,1,2,42.3,1840.75,0,40.91,3.711374531941307
9237-HQITU,2,1,0,0,70.7,151.65,1,75.82,4.328362110088189
9305-CDSKC,8,1,0,0,99.65,820.5,1,102.56,4.63044799317236
1452-KIOVK,22,1,0,3,89.1,1949.4,0,88.61,4.484244718059211
6713-OKOMC,10,0,0,1,29.75,301.9,0,30.19,3.4075107437187473
7892-POOKP,28,1,0,0,104.8,3046.05,1,108.79,4.689419418432991
6388-TABGU,62,1,1,2,56.15,3487.95,0,56.26,4.029983803061711
9763-GRSKD,13,1,0,1,49.95,587.45,0,45.19,3.810875823423188
7469-LKBCI,16,1,2,3,18.95,326.8,0,20.42,3.01651481273652
8091-TTVAX,58,1,1,3,100.35,5681.1,0,97.95,4.58445714439055
0280-XJGEX,49,1,0,2,103.7,5036.3,1,102.78,4.632590781564083
5129-JLPIS,25,1,0,0,105.5,2686.05,0,107.44,4.676932552214982
3655-SNQYZ,69,1,2,3,113.25,7895.15,0,114.42,4.739875888840383
8191-XWSZG,52,1,1,1,20.65,1022.95,0,19.67,2.979094632400968
9959-WOFKT,71,1,2,2,106.7,7382.25,0,103.98,4.6441985729555695
4190-MFLUW,10,1,0,3,55.2,528.35,1,52.84,3.9672684796541247
4183-MYFRB,21,1,0,0,90.05,1862.9,0,88.71,4.485372622532496
8779-QRDMV,1,0,0,0,39.65,39.65,1,39.65,3.680090948080857
1680-VDCWW,12,1,1,2,19.8,202.25,0,16.85,2.8243506567983707
1066-JKSGK,1,1,0,1,20.15,20.15,1,20.15,3.0032042883926917
3638-WEABW,58,1,2,3,59.9,3505.1,0,60.43,4.101485670373467
6322-HRPFA,49,1,0,3,59.6,2970.3,0,60.62,4.104624871629657
6865-JZNKO,30,1,0,2,55.3,1530.6,0,51.02,3.9322177127136655
6467-CHFZW,47,1,0,0,99.35,4749.15,1,101.05,4.61561544384963
8665-UTDHZ,1,0,0,0,30.2,30.2,1,30.2,3.407841924380824
5248-YGIJN,72,1,2,3,90.25,6369.45,0,88.46,4.482550472440181
8773-HHUOZ,17,1,0,1,64.7,1093.1,1,64.3,4.163559631243574
3841-NFECX,71,1,2,3,96.35,6766.95,0,95.31,4.557134736949535
4929-XIHVW,2,1,0,3,95.5,181.65,0,90.82,4.508879525669805
6827-IEAUQ,27,1,1,1,66.15,1874.45,0,69.42,4.24017501043364
7310-EGVHZ,1,1,0,2,20.2,20.2,0,20.2,3.005682604407159
3413-BMNZE,1,1,0,2,45.25,45.25,0,45.25,3.8122026701459353
6234-RAAPL,72,1,2,2,99.9,7251.7,0,100.72,4.612344389736092
6047-YHPVI,5,1,0,0,69.7,316.9,1,63.38,4.149148354262775
6572-ADKRS,46,1,0,3,74.8,3548.3,0,77.14,4.345621952780082
5380-WJKOV,34,1,0,0,106.35,3549.25,1,104.39,4.648133885420207
8168-UQWWF,11,1,0,2,97.85,1105.4,1,100.49,4.610058220060867
8865-TNMNX,10,1,1,1,49.55,475.7,0,47.57,3.8622023104441903
9489-DEDVP,70,1,2,3,69.2,4872.35,0,69.6,4.242764567340374
9867-JCZSP,17,1,1,1,20.75,418.25,0,24.6,3.202746442938317
4671-VJLCL,63,1,2,3,79.85,4861.45,0,77.17,4.346010780469512
4080-IIARD,13,1,0,0,76.2,981.45,0,75.5,4.324132656254979
3714-NTNFO,49,1,0,0,84.5,3906.7,0,79.73,4.378645926514404
5948-UJZLF,2,1,0,1,49.25,97.0,0,48.5,3.8815637979434374
7760-OYPDY,2,1,0,0,80.65,144.15,1,72.08,4.277776613300082
7639-LIAYI,52,1,2,3,79.75,4217.8,0,81.11,4.395806258082254
2954-PIBKO,69,1,2,3,64.15,4254.1,0,61.65,4.121473229610353
8012-SOUDQ,43,1,0,0,90.25,3838.75,0,89.27,4.4916654851912705
9420-LOJKX,15,1,0,3,99.1,1426.4,1,95.09,4.554823811551353
6575-SUVOI,25,1,0,3,69.5,1752.65,0,70.11,4.250065437218876
7495-OOKFY,8,1,0,3,80.65,633.3,1,79.16,4.371471120734365
4667-QONEA,60,1,1,3,74.85,4456.35,0,74.27,4.307707101681205
1658-BYGOY,18,1,0,0,95.45,1752.55,1,97.36,4.578415448679272
8769-KKTPH,63,1,1,3,99.65,6311.2,0,100.18,4.606968567929471
5067-XJQFU,66,1,1,0,108.45,7076.35,0,107.22,4.674882798399391
3957-SQXML,34,1,2,3,24.95,894.3,0,26.3,3.269568939183719
5954-BDFSG,72,1,2,3,107.5,7853.7,0,109.08,4.692081557977388
0434-CSFON,47,1,0,0,100.5,4707.1,0,100.15,4.606669062111827
1215-FIGMP,60,1,0,2,89.9,5450.7,0,90.84,4.5090997172373575
0526-SXDJP,72,0,2,2,42.1,2962.0,0,41.14,3.716980884224811
0557-ASKVU,18,1,1,3,54.4,957.1,0,53.17,3.973494327516247
5698-BQJOH,9,1,0,0,94.4,857.25,1,95.25,4.55650501400681
5122-CYFXA,3,1,0,0,75.3,244.1,0,81.37,4.3990066547085656
8627-ZYGSZ,47,1,1,0,78.9,3650.35,0,77.67,4.352469082431556
3410-YOQBQ,31,1,2,1,79.2,2497.2,0,80.55,4.388878109622984
3170-NMYVV,50,1,2,2,20.15,930.9,0,18.62,2.924236271848921
7410-OIEDU,10,1,0,1,79.85,887.35,0,88.74,4.4857107459507635
2273-QCKXA,1,1,0,1,49.05,49.05,0,49.05,3.892840186011372
0731-EBJQB,52,1,1,0,20.4,1090.65,0,20.97,3.0430928449138284
1891-QRQSA,64,1,2,2,111.6,7099.0,0,110.92,4.708809220747577
8028-PNXHQ,62,1,2,2,24.25,1424.6,0,22.98,3.1346242724206097
5630-AHZIL,3,1,0,2,64.5,177.4,0,59.13,4.079738409832738
2673-CXQEU,56,1,1,0,110.5,6139.5,0,109.63,4.697111059686448
6416-JNVRK,46,1,1,3,55.65,2688.85,0,58.45,4.068171687918078
5590-ZSKRV,8,1,0,1,54.65,482.25,0,60.28,4.099000373758295
0191-ZHSKZ,30,1,0,0,74.75,2111.3,0,70.38,4.253909131893439
3887-PBQAO,45,1,1,3,25.9,1216.6,0,27.04,3.2973172511747633
5919-TMRGD,1,1,0,0,79.35,79.35,1,79.35,4.373868446972418
8108-UXRQN,11,0,0,0,50.55,565.35,0,51.4,3.9396381724611196
9191-MYQKX,7,1,0,2,75.15,496.9,1,70.99,4.262539022051294
9919-YLNNG,42,1,0,2,103.8,4327.5,0,103.04,4.635117262356044
0318-ZOPWS,49,1,2,2,20.15,973.35,0,19.86,2.9887076586170265
4445-ZJNMU,9,1,0,3,99.3,918.75,0,102.08,4.6257568195964796
4808-YNLEU,35,1,1,2,62.15,2215.45,0,63.3,4.147885329150131
1862-QRWPE,48,1,2,2,20.65,1057.0,0,22.02,3.091951131294534
2796-NNUFI,46,1,2,1,19.95,927.1,0,20.15,3.0032042883926917
3016-KSVCP,29,0,0,1,33.75,1009.25,0,34.8,3.5496173867804286
4767-HZZHQ,30,1,0,2,82.05,2570.2,0,85.67,4.4505027059759525
2424-WVHPL,1,1,0,0,74.7,74.7,0,74.7,4.3134800921387715
